NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_SPECIES_GO:0051020_GTPASE_BINDING	GOMF_SPECIES_GO:0051020_GTPASE_BINDING	Details ...	120	0.5554047	2.1458013	0.0	0.0062189493	0.006	3028	tags=40%, list=19%, signal=49%	
GOMF_SPECIES_GO:0005096_GTPASE_ACTIVATOR_ACTIVITY	GOMF_SPECIES_GO:0005096_GTPASE_ACTIVATOR_ACTIVITY	Details ...	90	0.56756216	2.0952191	0.0	0.009335992	0.018	2981	tags=49%, list=19%, signal=60%	
GOBP_SPECIES_GO:0007474_IMAGINAL_DISC-DERIVED_WING_VEIN_SPECIFICATION	GOBP_SPECIES_GO:0007474_IMAGINAL_DISC-DERIVED_WING_VEIN_SPECIFICATION	Details ...	103	0.5531014	2.0951045	0.0	0.006223995	0.018	4127	tags=55%, list=26%, signal=75%	
GOMF_SPECIES_GO:0031267_SMALL_GTPASE_BINDING	GOMF_SPECIES_GO:0031267_SMALL_GTPASE_BINDING	Details ...	118	0.5480532	2.089247	0.0	0.004937186	0.019	3028	tags=39%, list=19%, signal=48%	
GOBP_SPECIES_GO:1901890_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GOBP_SPECIES_GO:1901890_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	Details ...	95	0.56448936	2.0856738	0.0	0.0041591562	0.02	3005	tags=45%, list=19%, signal=56%	
GOBP_SPECIES_GO:0035214_EYE-ANTENNAL_DISC_DEVELOPMENT	GOBP_SPECIES_GO:0035214_EYE-ANTENNAL_DISC_DEVELOPMENT	Details ...	123	0.5423781	2.0817635	0.0	0.0038155713	0.022	2600	tags=37%, list=17%, signal=43%	
GOBP_SPECIES_GO:0048639_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_SPECIES_GO:0048639_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	Details ...	197	0.51110417	2.0737927	0.0	0.0040081614	0.027	3005	tags=42%, list=19%, signal=51%	
GOBP_SPECIES_GO:0010453_REGULATION_OF_CELL_FATE_COMMITMENT	GOBP_SPECIES_GO:0010453_REGULATION_OF_CELL_FATE_COMMITMENT	Details ...	57	0.60966235	2.0735428	0.0	0.0035071408	0.027	2934	tags=46%, list=19%, signal=56%	
GOBP_SPECIES_GO:0051965_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_SPECIES_GO:0051965_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	94	0.5614303	2.0710702	0.0	0.0031174587	0.027	3005	tags=45%, list=19%, signal=55%	
GOBP_SPECIES_GO:0045887_POSITIVE_REGULATION_OF_SYNAPTIC_ASSEMBLY_AT_NEUROMUSCULAR_JUNCTION	GOBP_SPECIES_GO:0045887_POSITIVE_REGULATION_OF_SYNAPTIC_ASSEMBLY_AT_NEUROMUSCULAR_JUNCTION	Details ...	88	0.55515665	2.0699303	0.0	0.002910132	0.028	3005	tags=44%, list=19%, signal=54%	
GOBP_SPECIES_GO:0007432_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	GOBP_SPECIES_GO:0007432_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	Details ...	44	0.6260844	2.0686548	0.0	0.0027397643	0.029	3299	tags=48%, list=21%, signal=60%	
GOMF_SPECIES_GO:0005543_PHOSPHOLIPID_BINDING	GOMF_SPECIES_GO:0005543_PHOSPHOLIPID_BINDING	Details ...	189	0.5072742	2.052951	0.0	0.0030299462	0.035	4628	tags=50%, list=29%, signal=70%	
GOBP_SPECIES_GO:0048070_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	GOBP_SPECIES_GO:0048070_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	Details ...	63	0.5849727	2.046118	0.0	0.003116268	0.039	2127	tags=33%, list=14%, signal=38%	
