NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDRqval	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_SPECIES_GO:0003735_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_SPECIES_GO:0003735_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	178	0.8297511	3.2558022	0.0	0.0	0.0	1503	tags=78%, list=10%, signal=85%	
GOCC_SPECIES_GO:0044391_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0044391_RIBOSOMAL_SUBUNIT	Details ...	176	0.82310945	3.202083	0.0	0.0	0.0	1503	tags=77%, list=10%, signal=84%	
GOCC_SPECIES_GO:0005840_RIBOSOME	GOCC_SPECIES_GO:0005840_RIBOSOME	Details ...	192	0.8097904	3.1808662	0.0	0.0	0.0	1503	tags=74%, list=10%, signal=81%	
GOCC_SPECIES_GO:0015934_LARGE_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0015934_LARGE_RIBOSOMAL_SUBUNIT	Details ...	112	0.8533899	3.1280296	0.0	0.0	0.0	1503	tags=79%, list=10%, signal=87%	
GOCC_SPECIES_GO:0005761_MITOCHONDRIAL_RIBOSOME	GOCC_SPECIES_GO:0005761_MITOCHONDRIAL_RIBOSOME	Details ...	81	0.85882205	2.9840863	0.0	0.0	0.0	1322	tags=86%, list=8%, signal=94%	
GOCC_SPECIES_GO:0000313_ORGANELLAR_RIBOSOME	GOCC_SPECIES_GO:0000313_ORGANELLAR_RIBOSOME	Details ...	81	0.85882205	2.969651	0.0	0.0	0.0	1322	tags=86%, list=8%, signal=94%	
GOBP_SPECIES_GO:0032543_MITOCHONDRIAL_TRANSLATION	GOBP_SPECIES_GO:0032543_MITOCHONDRIAL_TRANSLATION	Details ...	120	0.78287387	2.9129071	0.0	0.0	0.0	1937	tags=74%, list=12%, signal=84%	
GOCC_SPECIES_GO:0022626_CYTOSOLIC_RIBOSOME	GOCC_SPECIES_GO:0022626_CYTOSOLIC_RIBOSOME	Details ...	102	0.7889969	2.8576949	0.0	0.0	0.0	1503	tags=71%, list=10%, signal=78%	
GOBP_SPECIES_GO:0140053_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_SPECIES_GO:0140053_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	149	0.74320114	2.854971	0.0	0.0	0.0	2292	tags=67%, list=15%, signal=78%	
GOCC_SPECIES_GO:0098798_MITOCHONDRIAL_PROTEIN-CONTAINING_COMPLEX	GOCC_SPECIES_GO:0098798_MITOCHONDRIAL_PROTEIN-CONTAINING_COMPLEX	Details ...	263	0.69960886	2.8490734	0.0	0.0	0.0	2903	tags=66%, list=18%, signal=79%	
GOCC_SPECIES_GO:0000315_ORGANELLAR_LARGE_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0000315_ORGANELLAR_LARGE_RIBOSOMAL_SUBUNIT	Details ...	49	0.87399995	2.8287373	0.0	0.0	0.0	1489	tags=90%, list=9%, signal=99%	
GOCC_SPECIES_GO:0022625_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0022625_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	64	0.8252152	2.8167334	0.0	0.0	0.0	1503	tags=72%, list=10%, signal=79%	
GOCC_SPECIES_GO:0005762_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0005762_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	Details ...	49	0.87399995	2.8031883	0.0	0.0	0.0	1489	tags=90%, list=9%, signal=99%	
GOCC_SPECIES_GO:0005759_MITOCHONDRIAL_MATRIX	GOCC_SPECIES_GO:0005759_MITOCHONDRIAL_MATRIX	Details ...	210	0.687391	2.7325554	0.0	0.0	0.0	2431	tags=59%, list=15%, signal=68%	
GOCC_SPECIES_GO:0015935_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0015935_SMALL_RIBOSOMAL_SUBUNIT	Details ...	75	0.7635491	2.6870515	0.0	0.0	0.0	2132	tags=75%, list=14%, signal=86%	
GOBP_SPECIES_GO:0002181_CYTOPLASMIC_TRANSLATION	GOBP_SPECIES_GO:0002181_CYTOPLASMIC_TRANSLATION	Details ...	174	0.6770194	2.6565924	0.0	0.0	0.0	2606	tags=62%, list=17%, signal=74%	
GOMF_SPECIES_GO:0019843_RR_BINDING	GOMF_SPECIES_GO:0019843_RR_BINDING	Details ...	54	0.795318	2.6162171	0.0	0.0	0.0	1662	tags=69%, list=11%, signal=76%	
GOCC_SPECIES_GO:0070469_RESPIRASOME	GOCC_SPECIES_GO:0070469_RESPIRASOME	Details ...	92	0.69853	2.529428	0.0	0.0	0.0	3111	tags=64%, list=20%, signal=79%	
GOCC_SPECIES_GO:0098803_RESPIRATORY_CHAIN_COMPLEX	GOCC_SPECIES_GO:0098803_RESPIRATORY_CHAIN_COMPLEX	Details ...	88	0.70270294	2.4949353	0.0	0.0	0.0	3111	tags=66%, list=20%, signal=82%	
GOCC_SPECIES_GO:0005743_MITOCHONDRIAL_INNER_MEMBRANE	GOCC_SPECIES_GO:0005743_MITOCHONDRIAL_INNER_MEMBRANE	Details ...	293	0.60135335	2.4872198	0.0	0.0	0.0	3111	tags=54%, list=20%, signal=66%	
GOCC_SPECIES_GO:0005746_MITOCHONDRIAL_RESPIRASOME	GOCC_SPECIES_GO:0005746_MITOCHONDRIAL_RESPIRASOME	Details ...	85	0.69694436	2.4370604	0.0	0.0	0.0	3111	tags=65%, list=20%, signal=80%	
GOCC_SPECIES_GO:0000314_ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0000314_ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT	Details ...	32	0.8306715	2.4343412	0.0	0.0	0.0	1922	tags=91%, list=12%, signal=103%	
GOCC_SPECIES_GO:0005763_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0005763_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	Details ...	32	0.8306715	2.4298553	0.0	0.0	0.0	1922	tags=91%, list=12%, signal=103%	
GOCC_SPECIES_GO:0098800_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_SPECIES_GO:0098800_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	142	0.634833	2.4224186	0.0	0.0	0.0	3111	tags=58%, list=20%, signal=72%	
GOCC_SPECIES_GO:0019866_ORGANELLE_INNER_MEMBRANE	GOCC_SPECIES_GO:0019866_ORGANELLE_INNER_MEMBRANE	Details ...	312	0.5801823	2.4051387	0.0	0.0	0.0	3111	tags=53%, list=20%, signal=64%	
GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	Details ...	277	0.58020383	2.3777432	0.0	0.0	0.0	2606	tags=51%, list=17%, signal=60%	
GOBP_SPECIES_GO:0006364_RR_PROCESSING	GOBP_SPECIES_GO:0006364_RR_PROCESSING	Details ...	188	0.60045743	2.3556874	0.0	0.0	0.0	2606	tags=52%, list=17%, signal=61%	
GOBP_SPECIES_GO:0006119_OXIDATIVE_PHOSPHORYLATION	GOBP_SPECIES_GO:0006119_OXIDATIVE_PHOSPHORYLATION	Details ...	118	0.623872	2.3376763	0.0	0.0	0.0	2903	tags=47%, list=18%, signal=58%	
GOCC_SPECIES_GO:0031966_MITOCHONDRIAL_MEMBRANE	GOCC_SPECIES_GO:0031966_MITOCHONDRIAL_MEMBRANE	Details ...	384	0.55527866	2.3351085	0.0	0.0	0.0	3111	tags=47%, list=20%, signal=57%	
GOBP_SPECIES_GO:0042273_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_SPECIES_GO:0042273_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	96	0.65207076	2.3322773	0.0	0.0	0.0	2274	tags=57%, list=14%, signal=67%	
GOCC_SPECIES_GO:1990204_OXIDOREDUCTASE_COMPLEX	GOCC_SPECIES_GO:1990204_OXIDOREDUCTASE_COMPLEX	Details ...	101	0.63792485	2.322001	0.0	0.0	0.0	2875	tags=55%, list=18%, signal=67%	
GOBP_SPECIES_GO:0019646_AEROBIC_ELECTRON_TRANSPORT_CHAIN	GOBP_SPECIES_GO:0019646_AEROBIC_ELECTRON_TRANSPORT_CHAIN	Details ...	55	0.7068578	2.31725	0.0	0.0	0.0	3587	tags=62%, list=23%, signal=80%	
GOCC_SPECIES_GO:0005740_MITOCHONDRIAL_ENVELOPE	GOCC_SPECIES_GO:0005740_MITOCHONDRIAL_ENVELOPE	Details ...	408	0.54938406	2.3168569	0.0	0.0	0.0	3111	tags=46%, list=20%, signal=56%	
GOBP_SPECIES_GO:0042775_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_SPECIES_GO:0042775_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	66	0.6696291	2.2906828	0.0	0.0	0.0	3111	tags=53%, list=20%, signal=66%	
GOCC_SPECIES_GO:0030964_DH_DEHYDROGENASE_COMPLEX	GOCC_SPECIES_GO:0030964_DH_DEHYDROGENASE_COMPLEX	Details ...	51	0.6947712	2.2898765	0.0	0.0	0.0	2575	tags=63%, list=16%, signal=75%	
GOBP_SPECIES_GO:0033108_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	GOBP_SPECIES_GO:0033108_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	Details ...	71	0.65945107	2.2648773	0.0	0.0	0.0	3062	tags=63%, list=19%, signal=78%	
GOCC_SPECIES_GO:0045271_RESPIRATORY_CHAIN_COMPLEX_I	GOCC_SPECIES_GO:0045271_RESPIRATORY_CHAIN_COMPLEX_I	Details ...	51	0.6947712	2.262201	0.0	0.0	0.0	2575	tags=63%, list=16%, signal=75%	
GOBP_SPECIES_GO:0042773_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_SPECIES_GO:0042773_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	68	0.66389555	2.2617393	0.0	0.0	0.0	2903	tags=51%, list=18%, signal=63%	
GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS	GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS	Details ...	216	0.56731975	2.2549329	0.0	0.0	0.0	2606	tags=48%, list=17%, signal=57%	
GOBP_SPECIES_GO:0000470_MATURATION_OF_LSU-RR	GOBP_SPECIES_GO:0000470_MATURATION_OF_LSU-RR	Details ...	42	0.71970457	2.2519436	0.0	0.0	0.0	2468	tags=69%, list=16%, signal=82%	
GOCC_SPECIES_GO:0005747_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I	GOCC_SPECIES_GO:0005747_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I	Details ...	51	0.6947712	2.2478561	0.0	0.0	0.0	2575	tags=63%, list=16%, signal=75%	
GOBP_SPECIES_GO:0009060_AEROBIC_RESPIRATION	GOBP_SPECIES_GO:0009060_AEROBIC_RESPIRATION	Details ...	157	0.59003675	2.2459407	0.0	0.0	0.0	2651	tags=41%, list=17%, signal=49%	
GOCC_SPECIES_GO:0022627_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SPECIES_GO:0022627_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	47	0.7085562	2.231123	0.0	1.7350252E-5	0.001	1499	tags=60%, list=10%, signal=66%	
GOMF_SPECIES_GO:0009055_ELECTRON_TRANSFER_ACTIVITY	GOMF_SPECIES_GO:0009055_ELECTRON_TRANSFER_ACTIVITY	Details ...	40	0.72292596	2.227334	0.0	1.6955928E-5	0.001	3019	tags=48%, list=19%, signal=59%	
