NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDRqval	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_SPECIES_GO:0005746_MITOCHONDRIAL_RESPIRASOME	GOCC_SPECIES_GO:0005746_MITOCHONDRIAL_RESPIRASOME	Details ...	85	0.80107886	2.6876638	0.0	0.0	0.0	1698	tags=64%, list=11%, signal=71%	
GOCC_SPECIES_GO:1990204_OXIDOREDUCTASE_COMPLEX	GOCC_SPECIES_GO:1990204_OXIDOREDUCTASE_COMPLEX	Details ...	101	0.7824012	2.6753862	0.0	0.0	0.0	1698	tags=58%, list=11%, signal=65%	
GOCC_SPECIES_GO:0098800_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_SPECIES_GO:0098800_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	142	0.7469796	2.6673222	0.0	0.0	0.0	1766	tags=54%, list=11%, signal=60%	
GOCC_SPECIES_GO:0098803_RESPIRATORY_CHAIN_COMPLEX	GOCC_SPECIES_GO:0098803_RESPIRATORY_CHAIN_COMPLEX	Details ...	88	0.791883	2.6661062	0.0	0.0	0.0	1698	tags=63%, list=11%, signal=70%	
GOCC_SPECIES_GO:0070469_RESPIRASOME	GOCC_SPECIES_GO:0070469_RESPIRASOME	Details ...	92	0.78353494	2.6600232	0.0	0.0	0.0	1698	tags=60%, list=11%, signal=67%	
GOBP_SPECIES_GO:0022900_ELECTRON_TRANSPORT_CHAIN	GOBP_SPECIES_GO:0022900_ELECTRON_TRANSPORT_CHAIN	Details ...	102	0.76656187	2.6499805	0.0	0.0	0.0	1886	tags=50%, list=12%, signal=56%	
GOCC_SPECIES_GO:0045271_RESPIRATORY_CHAIN_COMPLEX_I	GOCC_SPECIES_GO:0045271_RESPIRATORY_CHAIN_COMPLEX_I	Details ...	51	0.8409435	2.6017892	0.0	0.0	0.0	1698	tags=67%, list=11%, signal=74%	
GOBP_SPECIES_GO:0019646_AEROBIC_ELECTRON_TRANSPORT_CHAIN	GOBP_SPECIES_GO:0019646_AEROBIC_ELECTRON_TRANSPORT_CHAIN	Details ...	55	0.8130632	2.5703626	0.0	0.0	0.0	783	tags=49%, list=5%, signal=51%	
GOBP_SPECIES_GO:0022904_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	GOBP_SPECIES_GO:0022904_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	Details ...	87	0.76410043	2.5637715	0.0	0.0	0.0	1699	tags=48%, list=11%, signal=54%	
GOCC_SPECIES_GO:0005747_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I	GOCC_SPECIES_GO:0005747_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I	Details ...	51	0.8409435	2.5622754	0.0	0.0	0.0	1698	tags=67%, list=11%, signal=74%	
