NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDRqval	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_SPECIES_GO:0042302_STRUCTURAL_CONSTITUENT_OF_CUTICLE	GOMF_SPECIES_GO:0042302_STRUCTURAL_CONSTITUENT_OF_CUTICLE	Details ...	222	0.49868515	2.1812842	0.0	0.012369982	0.01	3056	tags=46%, list=19%, signal=56%	
GOCC_SPECIES_GO:0030684_PRERIBOSOME	GOCC_SPECIES_GO:0030684_PRERIBOSOME	Details ...	81	0.5704206	2.1711843	0.0	0.0068069813	0.011	4447	tags=70%, list=28%, signal=98%	
GOCC_SPECIES_GO:0032040_SMALL-SUBUNIT_PROCESSOME	GOCC_SPECIES_GO:0032040_SMALL-SUBUNIT_PROCESSOME	Details ...	39	0.64838076	2.1249452	0.0	0.007832755	0.019	4289	tags=82%, list=27%, signal=112%	
GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	Details ...	277	0.4692526	2.1029646	0.0	0.010200015	0.032	4513	tags=57%, list=29%, signal=79%	
GOBP_SPECIES_GO:0006364_RR_PROCESSING	GOBP_SPECIES_GO:0006364_RR_PROCESSING	Details ...	188	0.48416743	2.0828426	0.0	0.011128754	0.043	4513	tags=59%, list=29%, signal=81%	
GOCC_SPECIES_GO:0062129_CHITIN-BASED_EXTRACELLULAR_MATRIX	GOCC_SPECIES_GO:0062129_CHITIN-BASED_EXTRACELLULAR_MATRIX	Details ...	161	0.4937679	2.0768757	0.0	0.009891665	0.046	3056	tags=48%, list=19%, signal=59%	
GOBP_SPECIES_GO:0006026_AMINOGLYCAN_CATABOLIC_PROCESS	GOBP_SPECIES_GO:0006026_AMINOGLYCAN_CATABOLIC_PROCESS	Details ...	34	0.65240604	2.070072	0.0	0.009896145	0.054	2488	tags=47%, list=16%, signal=56%	
GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS	GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS	Details ...	216	0.47122043	2.0607116	0.0	0.010042163	0.063	4513	tags=56%, list=29%, signal=77%	
GOMF_SPECIES_GO:0008061_CHITIN_BINDING	GOMF_SPECIES_GO:0008061_CHITIN_BINDING	Details ...	82	0.5330702	2.032308	0.0	0.014446117	0.099	2488	tags=44%, list=16%, signal=52%	
GOMF_SPECIES_GO:0005214_STRUCTURAL_CONSTITUENT_OF_CHITIN-BASED_CUTICLE	GOMF_SPECIES_GO:0005214_STRUCTURAL_CONSTITUENT_OF_CHITIN-BASED_CUTICLE	Details ...	160	0.48134062	2.0124888	0.0	0.019070232	0.144	2257	tags=41%, list=14%, signal=47%	
