NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDRqval	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_SPECIES_GO:0051020_GTPASE_BINDING	GOMF_SPECIES_GO:0051020_GTPASE_BINDING	Details ...	120	0.5554047	2.127564	0.0	0.0020708386	0.002	3028	tags=40%, list=19%, signal=49%	
GOMF_SPECIES_GO:0031267_SMALL_GTPASE_BINDING	GOMF_SPECIES_GO:0031267_SMALL_GTPASE_BINDING	Details ...	118	0.5480532	2.1022165	0.0	0.0031116125	0.006	3028	tags=39%, list=19%, signal=48%	
GOBP_SPECIES_GO:0010453_REGULATION_OF_CELL_FATE_COMMITMENT	GOBP_SPECIES_GO:0010453_REGULATION_OF_CELL_FATE_COMMITMENT	Details ...	57	0.60966235	2.0941489	0.0	0.0027621193	0.008	2934	tags=46%, list=19%, signal=56%	
GOBP_SPECIES_GO:1901890_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GOBP_SPECIES_GO:1901890_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	Details ...	95	0.56448936	2.0864773	0.0	0.0025854774	0.01	3005	tags=45%, list=19%, signal=56%	
GOMF_SPECIES_GO:0005096_GTPASE_ACTIVATOR_ACTIVITY	GOMF_SPECIES_GO:0005096_GTPASE_ACTIVATOR_ACTIVITY	Details ...	90	0.56756216	2.0846794	0.0	0.002277718	0.011	2981	tags=49%, list=19%, signal=60%	
GOBP_SPECIES_GO:0051965_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_SPECIES_GO:0051965_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	94	0.5614303	2.0815501	0.0	0.0020712467	0.012	3005	tags=45%, list=19%, signal=55%	
GOBP_SPECIES_GO:0048639_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_SPECIES_GO:0048639_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	Details ...	197	0.51110417	2.067253	0.0	0.002219059	0.015	3005	tags=42%, list=19%, signal=51%	
GOBP_SPECIES_GO:0007474_IMAGINAL_DISC-DERIVED_WING_VEIN_SPECIFICATION	GOBP_SPECIES_GO:0007474_IMAGINAL_DISC-DERIVED_WING_VEIN_SPECIFICATION	Details ...	103	0.5531014	2.0660832	0.0	0.0019416766	0.015	4127	tags=55%, list=26%, signal=75%	
GOBP_SPECIES_GO:0048070_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	GOBP_SPECIES_GO:0048070_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	Details ...	63	0.5849727	2.061307	0.0	0.0019547872	0.016	2127	tags=33%, list=14%, signal=38%	
GOBP_SPECIES_GO:0035214_EYE-ANTENNAL_DISC_DEVELOPMENT	GOBP_SPECIES_GO:0035214_EYE-ANTENNAL_DISC_DEVELOPMENT	Details ...	123	0.5423781	2.0566134	0.0	0.002066891	0.019	2600	tags=37%, list=17%, signal=43%	
GOBP_SPECIES_GO:0048086_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	GOBP_SPECIES_GO:0048086_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PIGMENTATION	Details ...	19	0.75717103	2.055923	0.0	0.0018789917	0.019	1388	tags=37%, list=9%, signal=40%	
GOMF_SPECIES_GO:0019199_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	GOMF_SPECIES_GO:0019199_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	Details ...	26	0.7033669	2.0516853	0.0	0.001980778	0.022	2026	tags=50%, list=13%, signal=57%	
GOBP_SPECIES_GO:0007455_EYE-ANTENNAL_DISC_MORPHOGENESIS	GOBP_SPECIES_GO:0007455_EYE-ANTENNAL_DISC_MORPHOGENESIS	Details ...	98	0.54865557	2.0506716	0.0	0.0018284104	0.022	4523	tags=49%, list=29%, signal=68%	
GOCC_SPECIES_GO:0071683_SENSORY_DENDRITE	GOCC_SPECIES_GO:0071683_SENSORY_DENDRITE	Details ...	19	0.7539225	2.0493505	0.0	0.001771766	0.023	605	tags=32%, list=4%, signal=33%	
GOBP_SPECIES_GO:1904398_POSITIVE_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	GOBP_SPECIES_GO:1904398_POSITIVE_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	Details ...	88	0.55515665	2.04258	0.0	0.0020682537	0.029	3005	tags=44%, list=19%, signal=54%	
GOBP_SPECIES_GO:0045927_POSITIVE_REGULATION_OF_GROWTH	GOBP_SPECIES_GO:0045927_POSITIVE_REGULATION_OF_GROWTH	Details ...	232	0.4923958	2.0407212	0.0	0.0020688751	0.031	3005	tags=41%, list=19%, signal=50%	
GOMF_SPECIES_GO:0005543_PHOSPHOLIPID_BINDING	GOMF_SPECIES_GO:0005543_PHOSPHOLIPID_BINDING	Details ...	189	0.5072742	2.037159	0.0	0.002191064	0.035	4628	tags=50%, list=29%, signal=70%	
GOBP_SPECIES_GO:0051241_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_SPECIES_GO:0051241_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	Details ...	295	0.48051533	2.0370753	0.0	0.0020693382	0.035	4367	tags=46%, list=28%, signal=62%	
GOBP_SPECIES_GO:0045500_SEVENLESS_SIGNALING_PATHWAY	GOBP_SPECIES_GO:0045500_SEVENLESS_SIGNALING_PATHWAY	Details ...	62	0.57838154	2.0359142	0.0	0.0020154202	0.035	2865	tags=45%, list=18%, signal=55%	
GOBP_SPECIES_GO:0007432_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	GOBP_SPECIES_GO:0007432_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	Details ...	44	0.6260844	2.0358825	0.0	0.0019146493	0.035	3299	tags=48%, list=21%, signal=60%	
GOBP_SPECIES_GO:0090630_ACTIVATION_OF_GTPASE_ACTIVITY	GOBP_SPECIES_GO:0090630_ACTIVATION_OF_GTPASE_ACTIVITY	Details ...	36	0.6420538	2.0328126	0.0	0.0019210482	0.037	2403	tags=50%, list=15%, signal=59%	
GOBP_SPECIES_GO:0035218_LEG_DISC_DEVELOPMENT	GOBP_SPECIES_GO:0035218_LEG_DISC_DEVELOPMENT	Details ...	194	0.49794734	2.0310762	0.0	0.0019269282	0.039	4367	tags=46%, list=28%, signal=63%	
GOMF_SPECIES_GO:0140359_ABC-TYPE_TRANSPORTER_ACTIVITY	GOMF_SPECIES_GO:0140359_ABC-TYPE_TRANSPORTER_ACTIVITY	Details ...	56	0.5844314	2.0299258	0.0	0.0018431487	0.039	2673	tags=41%, list=17%, signal=49%	
GOMF_SPECIES_GO:0050839_CELL_ADHESION_MOLECULE_BINDING	GOMF_SPECIES_GO:0050839_CELL_ADHESION_MOLECULE_BINDING	Details ...	92	0.55242515	2.0295842	0.0	0.0017663508	0.039	3966	tags=51%, list=25%, signal=68%	
GOMF_SPECIES_GO:1901981_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GOMF_SPECIES_GO:1901981_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	Details ...	103	0.5421036	2.0236232	0.0	0.0019025245	0.044	5437	tags=60%, list=35%, signal=91%	
GOBP_SPECIES_GO:0042659_REGULATION_OF_CELL_FATE_SPECIFICATION	GOBP_SPECIES_GO:0042659_REGULATION_OF_CELL_FATE_SPECIFICATION	Details ...	47	0.61834735	2.0206232	0.0	0.0019093055	0.046	2934	tags=47%, list=19%, signal=57%	
GOBP_SPECIES_GO:0050768_NEGATIVE_REGULATION_OF_NEUROGENESIS	GOBP_SPECIES_GO:0050768_NEGATIVE_REGULATION_OF_NEUROGENESIS	Details ...	88	0.5465913	2.0182176	0.0	0.0019153642	0.048	3999	tags=45%, list=25%, signal=61%	
GOBP_SPECIES_GO:0045887_POSITIVE_REGULATION_OF_SYNAPTIC_ASSEMBLY_AT_NEUROMUSCULAR_JUNCTION	GOBP_SPECIES_GO:0045887_POSITIVE_REGULATION_OF_SYNAPTIC_ASSEMBLY_AT_NEUROMUSCULAR_JUNCTION	Details ...	88	0.55515665	2.0181758	0.0	0.0018469584	0.048	3005	tags=44%, list=19%, signal=54%	
GOBP_SPECIES_GO:0007167_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GOBP_SPECIES_GO:0007167_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	Details ...	416	0.464783	2.0179377	0.0	0.00178327	0.048	3961	tags=44%, list=25%, signal=58%	
GOBP_SPECIES_GO:0048663_NEURON_FATE_COMMITMENT	GOBP_SPECIES_GO:0048663_NEURON_FATE_COMMITMENT	Details ...	188	0.49464977	2.0176566	0.0	0.0017586459	0.049	4523	tags=49%, list=29%, signal=69%	
GOBP_SPECIES_GO:0120305_REGULATION_OF_PIGMENTATION	GOBP_SPECIES_GO:0120305_REGULATION_OF_PIGMENTATION	Details ...	63	0.5849727	2.0149746	0.0	0.0019017739	0.053	2127	tags=33%, list=14%, signal=38%	
GOBP_SPECIES_GO:0043547_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	GOBP_SPECIES_GO:0043547_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	Details ...	73	0.56191957	2.0140445	0.0	0.0018423434	0.053	3781	tags=55%, list=24%, signal=72%	
GOBP_SPECIES_GO:0007446_IMAGINAL_DISC_GROWTH	GOBP_SPECIES_GO:0007446_IMAGINAL_DISC_GROWTH	Details ...	112	0.52756757	2.0136604	0.0	0.0017865148	0.053	3520	tags=47%, list=22%, signal=61%	
GOCC_SPECIES_GO:0071212_SUBSYNAPTIC_RETICULUM	GOCC_SPECIES_GO:0071212_SUBSYNAPTIC_RETICULUM	Details ...	20	0.7257182	1.9921563	0.0	0.0027400095	0.085	2133	tags=35%, list=14%, signal=40%	
GOBP_SPECIES_GO:0008586_IMAGINAL_DISC-DERIVED_WING_VEIN_MORPHOGENESIS	GOBP_SPECIES_GO:0008586_IMAGINAL_DISC-DERIVED_WING_VEIN_MORPHOGENESIS	Details ...	79	0.5547104	1.9912049	0.0	0.0026617234	0.085	3535	tags=46%, list=22%, signal=58%	
GOMF_SPECIES_GO:0005214_STRUCTURAL_CONSTITUENT_OF_CHITIN-BASED_CUTICLE	GOMF_SPECIES_GO:0005214_STRUCTURAL_CONSTITUENT_OF_CHITIN-BASED_CUTICLE	Details ...	160	0.49764663	1.9889282	0.0	0.002616694	0.086	3684	tags=49%, list=23%, signal=64%	
GOBP_SPECIES_GO:0045704_REGULATION_OF_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	GOBP_SPECIES_GO:0045704_REGULATION_OF_SALIVARY_GLAND_BOUNDARY_SPECIFICATION	Details ...	19	0.7414179	1.9876571	0.0	0.00257375	0.087	2646	tags=58%, list=17%, signal=70%	
GOBP_SPECIES_GO:0035265_ORGAN_GROWTH	GOBP_SPECIES_GO:0035265_ORGAN_GROWTH	Details ...	47	0.599912	1.9840204	0.0	0.002724138	0.092	3809	tags=57%, list=24%, signal=76%	
