NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDRqval	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SPECIES_GO:0051937_CATECHOLAMINE_TRANSPORT	GOBP_SPECIES_GO:0051937_CATECHOLAMINE_TRANSPORT	Details ...	22	0.75075734	2.0655007	0.0	0.022714065	0.021	2651	tags=36%, list=17%, signal=44%	
GOCC_SPECIES_GO:0032040_SMALL-SUBUNIT_PROCESSOME	GOCC_SPECIES_GO:0032040_SMALL-SUBUNIT_PROCESSOME	Details ...	39	0.66005266	2.0586355	0.0	0.014032118	0.026	4261	tags=64%, list=27%, signal=88%	
GOBP_SPECIES_GO:0015872_DOPAMINE_TRANSPORT	GOBP_SPECIES_GO:0015872_DOPAMINE_TRANSPORT	Details ...	22	0.75075734	2.026978	0.0	0.01727242	0.047	2651	tags=36%, list=17%, signal=44%	
GOBP_SPECIES_GO:0015837_AMINE_TRANSPORT	GOBP_SPECIES_GO:0015837_AMINE_TRANSPORT	Details ...	28	0.6873894	1.9999176	0.0	0.022437591	0.079	2222	tags=39%, list=14%, signal=46%	
GOCC_SPECIES_GO:0030684_PRERIBOSOME	GOCC_SPECIES_GO:0030684_PRERIBOSOME	Details ...	81	0.55876976	1.9916041	0.0	0.020530313	0.09	4338	tags=59%, list=28%, signal=81%	
GOBP_SPECIES_GO:0042273_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_SPECIES_GO:0042273_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	96	0.54942375	1.9895376	0.0	0.017828735	0.094	5201	tags=74%, list=33%, signal=110%	
GOBP_SPECIES_GO:0051952_REGULATION_OF_AMINE_TRANSPORT	GOBP_SPECIES_GO:0051952_REGULATION_OF_AMINE_TRANSPORT	Details ...	17	0.7618444	1.9532237	0.0	0.03160856	0.189	1794	tags=53%, list=11%, signal=60%	
GOBP_SPECIES_GO:0000470_MATURATION_OF_LSU-RR	GOBP_SPECIES_GO:0000470_MATURATION_OF_LSU-RR	Details ...	42	0.6165503	1.9425926	0.0	0.03410732	0.229	5201	tags=83%, list=33%, signal=124%	
GOMF_SPECIES_GO:0015377_CATION:CHLORIDE_SYMPORTER_ACTIVITY	GOMF_SPECIES_GO:0015377_CATION:CHLORIDE_SYMPORTER_ACTIVITY	Details ...	15	0.7695222	1.9320936	0.0	0.03629823	0.267	2651	tags=33%, list=17%, signal=40%	
GOMF_SPECIES_GO:0015296_ANION:CATION_SYMPORTER_ACTIVITY	GOMF_SPECIES_GO:0015296_ANION:CATION_SYMPORTER_ACTIVITY	Details ...	15	0.7695222	1.9085263	0.001814882	0.04959185	0.374	2651	tags=33%, list=17%, signal=40%	
GOBP_SPECIES_GO:2000765_REGULATION_OF_CYTOPLASMIC_TRANSLATION	GOBP_SPECIES_GO:2000765_REGULATION_OF_CYTOPLASMIC_TRANSLATION	Details ...	26	0.6785119	1.902599	0.0	0.050477773	0.406	3240	tags=65%, list=21%, signal=82%	
GOBP_SPECIES_GO:0000463_MATURATION_OF_LSU-RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	GOBP_SPECIES_GO:0000463_MATURATION_OF_LSU-RR_FROM_TRICISTRONIC_RR_TRANSCRIPT_(SSU-RR,_5.8S_RR,_LSU-RR)	Details ...	24	0.6808199	1.8933253	0.0036764706	0.054527167	0.454	2109	tags=58%, list=13%, signal=67%	
GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	GOBP_SPECIES_GO:0042254_RIBOSOME_BIOGENESIS	Details ...	277	0.45283705	1.879902	0.0	0.05913716	0.516	4600	tags=54%, list=29%, signal=75%	
GOBP_SPECIES_GO:0045792_NEGATIVE_REGULATION_OF_CELL_SIZE	GOBP_SPECIES_GO:0045792_NEGATIVE_REGULATION_OF_CELL_SIZE	Details ...	39	0.604927	1.8697288	0.0	0.06483998	0.571	3661	tags=56%, list=23%, signal=73%	
GOBP_SPECIES_GO:0006364_RR_PROCESSING	GOBP_SPECIES_GO:0006364_RR_PROCESSING	Details ...	188	0.4629613	1.8337913	0.0	0.10128671	0.742	4261	tags=52%, list=27%, signal=70%	
GOMF_SPECIES_GO:0005179_HORMONE_ACTIVITY	GOMF_SPECIES_GO:0005179_HORMONE_ACTIVITY	Details ...	32	0.61919194	1.8325654	0.0017331023	0.09697831	0.751	2285	tags=25%, list=15%, signal=29%	
GOMF_SPECIES_GO:0019199_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	GOMF_SPECIES_GO:0019199_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	Details ...	26	0.6355116	1.8165638	0.0	0.11403928	0.826	4402	tags=69%, list=28%, signal=96%	
GOBP_SPECIES_GO:0120177_NEGATIVE_REGULATION_OF_TORSO_SIGNALING_PATHWAY	GOBP_SPECIES_GO:0120177_NEGATIVE_REGULATION_OF_TORSO_SIGNALING_PATHWAY	Details ...	16	0.71511835	1.8124586	0.0	0.113978244	0.838	1726	tags=44%, list=11%, signal=49%	
GOCC_SPECIES_GO:0030686_90S_PRERIBOSOME	GOCC_SPECIES_GO:0030686_90S_PRERIBOSOME	Details ...	28	0.6265391	1.7931291	0.0	0.1384512	0.908	4261	tags=68%, list=27%, signal=93%	
GOBP_SPECIES_GO:0045475_LOCOMOTOR_RHYTHM	GOBP_SPECIES_GO:0045475_LOCOMOTOR_RHYTHM	Details ...	113	0.47010383	1.7803864	0.0	0.1556841	0.936	2751	tags=36%, list=17%, signal=44%	
GOBP_SPECIES_GO:0043547_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	GOBP_SPECIES_GO:0043547_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY		73	0.5023357	1.7630476	0.0	0.18519692	0.966	3574	tags=37%, list=23%, signal=48%	
GOBP_SPECIES_GO:0042811_PHEROMONE_BIOSYNTHETIC_PROCESS	GOBP_SPECIES_GO:0042811_PHEROMONE_BIOSYNTHETIC_PROCESS		32	0.5858566	1.759838	0.0	0.1851042	0.973	3804	tags=44%, list=24%, signal=58%	
GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS	GOBP_SPECIES_GO:0016072_RR_METABOLIC_PROCESS		216	0.4348915	1.7595803	0.0	0.17770864	0.973	4326	tags=50%, list=27%, signal=69%	
GOBP_SPECIES_GO:0048052_R1/R6_CELL_DIFFERENTIATION	GOBP_SPECIES_GO:0048052_R1/R6_CELL_DIFFERENTIATION		18	0.6721159	1.7519263	0.0	0.18683013	0.983	2037	tags=33%, list=13%, signal=38%	
GOBP_SPECIES_GO:0042810_PHEROMONE_METABOLIC_PROCESS	GOBP_SPECIES_GO:0042810_PHEROMONE_METABOLIC_PROCESS		32	0.5858566	1.751582	0.0017064846	0.1801331	0.983	3804	tags=44%, list=24%, signal=58%	
GOBP_SPECIES_GO:0008333_ENDOSOME_TO_LYSOSOME_TRANSPORT	GOBP_SPECIES_GO:0008333_ENDOSOME_TO_LYSOSOME_TRANSPORT		30	0.59387	1.7491266	0.003539823	0.17827047	0.985	1345	tags=30%, list=9%, signal=33%	
GOCC_SPECIES_GO:0005730_NUCLEOLUS	GOCC_SPECIES_GO:0005730_NUCLEOLUS		314	0.4176059	1.7413468	0.0	0.18797414	0.989	4401	tags=48%, list=28%, signal=66%	
GOMF_SPECIES_GO:0008227_G_PROTEIN-COUPLED_AMINE_RECEPTOR_ACTIVITY	GOMF_SPECIES_GO:0008227_G_PROTEIN-COUPLED_AMINE_RECEPTOR_ACTIVITY		32	0.58247465	1.7269263	0.0017094017	0.21539655	0.995	3851	tags=47%, list=24%, signal=62%	
GOMF_SPECIES_GO:0015081_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_SPECIES_GO:0015081_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		94	0.47476318	1.726199	0.0	0.20967707	0.995	2717	tags=32%, list=17%, signal=38%	
GOBP_SPECIES_GO:0042274_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_SPECIES_GO:0042274_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS		57	0.5245804	1.7244173	0.0	0.20667493	0.996	4277	tags=54%, list=27%, signal=74%	
GOMF_SPECIES_GO:0004714_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	GOMF_SPECIES_GO:0004714_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY		22	0.6414506	1.7209309	0.007155635	0.20786716	0.996	3653	tags=64%, list=23%, signal=83%	
GOBP_SPECIES_GO:0035309_WING_AND_NOTUM_SUBFIELD_FORMATION	GOBP_SPECIES_GO:0035309_WING_AND_NOTUM_SUBFIELD_FORMATION		26	0.5974621	1.7122542	0.005376344	0.2219393	0.998	5052	tags=69%, list=32%, signal=102%	
GOBP_SPECIES_GO:0034315_REGULATION_OF_ARP2/3_COMPLEX-MEDIATED_ACTIN_NUCLEATION	GOBP_SPECIES_GO:0034315_REGULATION_OF_ARP2/3_COMPLEX-MEDIATED_ACTIN_NUCLEATION		17	0.6750487	1.7110637	0.008517887	0.21802884	0.998	3647	tags=53%, list=23%, signal=69%	
GOBP_SPECIES_GO:0052652_CYCLIC_PURINE_NUCLEOTIDE_METABOLIC_PROCESS	GOBP_SPECIES_GO:0052652_CYCLIC_PURINE_NUCLEOTIDE_METABOLIC_PROCESS		22	0.6301831	1.708309	0.0035714286	0.21919806	0.999	5043	tags=50%, list=32%, signal=73%	
GOBP_SPECIES_GO:0051125_REGULATION_OF_ACTIN_NUCLEATION	GOBP_SPECIES_GO:0051125_REGULATION_OF_ACTIN_NUCLEATION		18	0.64423734	1.7078379	0.0069444445	0.21407837	0.999	3647	tags=50%, list=23%, signal=65%	
GOMF_SPECIES_GO:0004713_PROTEIN_TYROSINE_KINASE_ACTIVITY	GOMF_SPECIES_GO:0004713_PROTEIN_TYROSINE_KINASE_ACTIVITY		48	0.52667856	1.7047906	0.0033167496	0.21553206	1.0	4328	tags=52%, list=27%, signal=72%	
GOBP_SPECIES_GO:1903580_POSITIVE_REGULATION_OF_ATP_METABOLIC_PROCESS	GOBP_SPECIES_GO:1903580_POSITIVE_REGULATION_OF_ATP_METABOLIC_PROCESS		21	0.6291681	1.7040263	0.0	0.21154311	1.0	1697	tags=43%, list=11%, signal=48%	
GOBP_SPECIES_GO:0014068_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3-KINASE_SIGNALING	GOBP_SPECIES_GO:0014068_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3-KINASE_SIGNALING		17	0.66416866	1.694625	0.0070546735	0.22778744	1.0	3965	tags=76%, list=25%, signal=102%	
GOBP_SPECIES_GO:0043457_REGULATION_OF_CELLULAR_RESPIRATION	GOBP_SPECIES_GO:0043457_REGULATION_OF_CELLULAR_RESPIRATION		21	0.6262174	1.6928209	0.008896797	0.2257935	1.0	3254	tags=57%, list=21%, signal=72%	
GOBP_SPECIES_GO:0030728_OVULATION	GOBP_SPECIES_GO:0030728_OVULATION		16	0.6684494	1.6856385	0.003539823	0.23770887	1.0	1924	tags=38%, list=12%, signal=43%	
GOBP_SPECIES_GO:0120175_REGULATION_OF_TORSO_SIGNALING_PATHWAY	GOBP_SPECIES_GO:0120175_REGULATION_OF_TORSO_SIGNALING_PATHWAY		20	0.6180466	1.6830531	0.0018315018	0.23843908	1.0	3020	tags=45%, list=19%, signal=56%	
GOBP_SPECIES_GO:0018212_PEPTIDYL-TYROSINE_MODIFICATION	GOBP_SPECIES_GO:0018212_PEPTIDYL-TYROSINE_MODIFICATION		70	0.48383322	1.6805263	0.0	0.23885158	1.0	4596	tags=50%, list=29%, signal=70%	
GOBP_SPECIES_GO:0035725_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_SPECIES_GO:0035725_SODIUM_ION_TRANSMEMBRANE_TRANSPORT		89	0.46860263	1.6776669	0.0016750419	0.24042378	1.0	2717	tags=30%, list=17%, signal=36%	
GOMF_SPECIES_GO:0048018_RECEPTOR_LIGAND_ACTIVITY	GOMF_SPECIES_GO:0048018_RECEPTOR_LIGAND_ACTIVITY		76	0.48079613	1.676264	0.001607717	0.23851615	1.0	2285	tags=28%, list=15%, signal=32%	
GOBP_SPECIES_GO:0090630_ACTIVATION_OF_GTPASE_ACTIVITY	GOBP_SPECIES_GO:0090630_ACTIVATION_OF_GTPASE_ACTIVITY		36	0.5513	1.6760933	0.0017182131	0.23357554	1.0	3574	tags=42%, list=23%, signal=54%	
GOBP_SPECIES_GO:0002082_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	GOBP_SPECIES_GO:0002082_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION		19	0.6328021	1.6726953	0.005514706	0.23651691	1.0	1305	tags=42%, list=8%, signal=46%	
GOBP_SPECIES_GO:0006814_SODIUM_ION_TRANSPORT	GOBP_SPECIES_GO:0006814_SODIUM_ION_TRANSPORT		102	0.45619097	1.6660513	0.0	0.24714944	1.0	2717	tags=29%, list=17%, signal=35%	
GOMF_SPECIES_GO:0004672_PROTEIN_KINASE_ACTIVITY	GOMF_SPECIES_GO:0004672_PROTEIN_KINASE_ACTIVITY		222	0.4096804	1.6589495	0.0	0.26142558	1.0	4455	tags=46%, list=28%, signal=64%	
GOBP_SPECIES_GO:0009954_PROXIMAL/DISTAL_PATTERN_FORMATION	GOBP_SPECIES_GO:0009954_PROXIMAL/DISTAL_PATTERN_FORMATION		61	0.49377996	1.6554227	0.0	0.26623446	1.0	4223	tags=48%, list=27%, signal=65%	
GOBP_SPECIES_GO:0000184_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_NONSENSE-MEDIATED_DECAY	GOBP_SPECIES_GO:0000184_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_NONSENSE-MEDIATED_DECAY		28	0.57201105	1.6527108	0.013377926	0.2685201	1.0	3219	tags=54%, list=20%, signal=67%	
