NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_SPECIES_GO:1905369_ENDOPEPTIDASE_COMPLEX	GOCC_SPECIES_GO:1905369_ENDOPEPTIDASE_COMPLEX	Details ...	60	-0.70632964	-2.6572857	0.0	0.0	0.0	1218	tags=55%, list=8%, signal=59%	
GOCC_SPECIES_GO:1905368_PEPTIDASE_COMPLEX	GOCC_SPECIES_GO:1905368_PEPTIDASE_COMPLEX	Details ...	85	-0.6410455	-2.6554036	0.0	0.0	0.0	1934	tags=51%, list=12%, signal=57%	
GOCC_SPECIES_GO:0000502_PROTEASOME_COMPLEX	GOCC_SPECIES_GO:0000502_PROTEASOME_COMPLEX	Details ...	54	-0.7102278	-2.618428	0.0	0.0	0.0	1218	tags=57%, list=8%, signal=62%	
GOCC_SPECIES_GO:0005839_PROTEASOME_CORE_COMPLEX	GOCC_SPECIES_GO:0005839_PROTEASOME_CORE_COMPLEX	Details ...	17	-0.89595795	-2.492315	0.0	0.0	0.0	1218	tags=82%, list=8%, signal=89%	
GOCC_SPECIES_GO:0005657_REPLICATION_FORK	GOCC_SPECIES_GO:0005657_REPLICATION_FORK	Details ...	37	-0.68514985	-2.3525784	0.0	1.9790152E-4	0.001	2710	tags=65%, list=17%, signal=78%	
GOCC_SPECIES_GO:0140534_ENDOPLASMIC_RETICULUM_PROTEIN-CONTAINING_COMPLEX	GOCC_SPECIES_GO:0140534_ENDOPLASMIC_RETICULUM_PROTEIN-CONTAINING_COMPLEX	Details ...	75	-0.5687309	-2.250711	0.0	8.291614E-4	0.005	2020	tags=43%, list=13%, signal=49%	
GOCC_SPECIES_GO:0005688_U6_SNRNP	GOCC_SPECIES_GO:0005688_U6_SNRNP	Details ...	17	-0.7757372	-2.218611	0.0	9.95039E-4	0.007	1147	tags=65%, list=7%, signal=70%	
GOCC_SPECIES_GO:0005838_PROTEASOME_REGULATORY_PARTICLE	GOCC_SPECIES_GO:0005838_PROTEASOME_REGULATORY_PARTICLE	Details ...	30	-0.6663386	-2.1919954	0.0	0.0013677079	0.011	2686	tags=63%, list=17%, signal=76%	
GOBP_SPECIES_GO:0006270_D_REPLICATION_INITIATION	GOBP_SPECIES_GO:0006270_D_REPLICATION_INITIATION	Details ...	35	-0.6449021	-2.189382	0.0	0.0013248927	0.012	2920	tags=69%, list=19%, signal=84%	
GOCC_SPECIES_GO:0044815_D_PACKAGING_COMPLEX	GOCC_SPECIES_GO:0044815_D_PACKAGING_COMPLEX	Details ...	48	-0.59259963	-2.1304946	0.0	0.0038846356	0.038	3393	tags=50%, list=22%, signal=64%	
GOCC_SPECIES_GO:0001673_MALE_GERM_CELL_NUCLEUS	GOCC_SPECIES_GO:0001673_MALE_GERM_CELL_NUCLEUS	Details ...	23	-0.6820356	-2.11683	0.0	0.0045229155	0.048	2890	tags=65%, list=18%, signal=80%	
GOCC_SPECIES_GO:0005686_U2_SNRNP	GOCC_SPECIES_GO:0005686_U2_SNRNP	Details ...	40	-0.5973523	-2.078765	0.0	0.007991243	0.092	2875	tags=58%, list=18%, signal=70%	
GOCC_SPECIES_GO:0034719_SMN-SM_PROTEIN_COMPLEX	GOCC_SPECIES_GO:0034719_SMN-SM_PROTEIN_COMPLEX	Details ...	15	-0.76020056	-2.0717092	0.0	0.0077554504	0.097	2949	tags=80%, list=19%, signal=98%	
GOCC_SPECIES_GO:0045259_PROTON-TRANSPORTING_ATP_SYNTHASE_COMPLEX	GOCC_SPECIES_GO:0045259_PROTON-TRANSPORTING_ATP_SYNTHASE_COMPLEX	Details ...	28	-0.64032024	-2.0666003	0.0	0.0076282206	0.102	1859	tags=43%, list=12%, signal=49%	
