NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_SPECIES_GO:0000001_MITOCHONDRION_INHERITANCE	3		Rejected!	
GOBP_SPECIES_GO:0000002_MITOCHONDRIAL_GENOME_MAINTENANCE	25	21		
GOBP_SPECIES_GO:0000003_REPRODUCTION	2932		Rejected!	
GOBP_SPECIES_GO:0000012_SINGLE_STRAND_BREAK_REPAIR	6		Rejected!	
GOBP_SPECIES_GO:0000018_REGULATION_OF_D_RECOMBINATION	32		Rejected!	
GOBP_SPECIES_GO:0000019_REGULATION_OF_MITOTIC_RECOMBINATION	9		Rejected!	
GOBP_SPECIES_GO:0000022_MITOTIC_SPINDLE_ELONGATION	42	17		
GOBP_SPECIES_GO:0000023_MALTOSE_METABOLIC_PROCESS	12		Rejected!	
GOBP_SPECIES_GO:0000027_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	41	35		
GOBP_SPECIES_GO:0000028_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	14		Rejected!	
GOBP_SPECIES_GO:0000032_CELL_WALL_MANNOPROTEIN_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0000038_VERY_LONG-CHAIN_FATTY_ACID_METABOLIC_PROCESS	54	33		
GOBP_SPECIES_GO:0000041_TRANSITION_METAL_ION_TRANSPORT	97	59		
GOBP_SPECIES_GO:0000045_AUTOPHAGOSOME_ASSEMBLY	86	56		
GOBP_SPECIES_GO:0000050_UREA_CYCLE	5		Rejected!	
GOBP_SPECIES_GO:0000054_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	29	26		
GOBP_SPECIES_GO:0000055_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	11		Rejected!	
GOBP_SPECIES_GO:0000056_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	6		Rejected!	
GOBP_SPECIES_GO:0000070_MITOTIC_SISTER_CHROMATID_SEGREGATION	228	136		
GOBP_SPECIES_GO:0000075_CELL_CYCLE_CHECKPOINT_SIGNALING	130	83		
GOBP_SPECIES_GO:0000076_D_REPLICATION_CHECKPOINT_SIGNALING	37	24		
GOBP_SPECIES_GO:0000077_D_DAMAGE_CHECKPOINT_SIGNALING	87	53		
GOBP_SPECIES_GO:0000079_REGULATION_OF_CYCLIN-DEPENDENT_PROTEIN_SERINE/THREONINE_KINASE_ACTIVITY	39	32		
GOBP_SPECIES_GO:0000082_G1/S_TRANSITION_OF_MITOTIC_CELL_CYCLE	102	57		
GOBP_SPECIES_GO:0000083_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1/S_TRANSITION_OF_MITOTIC_CELL_CYCLE	13		Rejected!	
GOBP_SPECIES_GO:0000086_G2/M_TRANSITION_OF_MITOTIC_CELL_CYCLE	90	56		
GOBP_SPECIES_GO:0000096_SULFUR_AMINO_ACID_METABOLIC_PROCESS	38	34		
GOBP_SPECIES_GO:0000097_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	35	31		
GOBP_SPECIES_GO:0000101_SULFUR_AMINO_ACID_TRANSPORT	5		Rejected!	
GOBP_SPECIES_GO:0000103_SULFATE_ASSIMILATION	2		Rejected!	
GOBP_SPECIES_GO:0000105_HISTIDINE_BIOSYNTHETIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:0000122_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_R_POLYMERASE_II	506	295		
GOBP_SPECIES_GO:0000132_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION	83	53		
GOBP_SPECIES_GO:0000154_RR_MODIFICATION	32	31		
GOBP_SPECIES_GO:0000162_TRYPTOPHAN_BIOSYNTHETIC_PROCESS	9		Rejected!	
GOBP_SPECIES_GO:0000165_MAPK_CASCADE	406	226		
GOBP_SPECIES_GO:0000184_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_NONSENSE-MEDIATED_DECAY	48	28		
GOBP_SPECIES_GO:0000209_PROTEIN_POLYUBIQUITINATION	218	124		
GOBP_SPECIES_GO:0000212_MEIOTIC_SPINDLE_ORGANIZATION	82	44		
GOBP_SPECIES_GO:0000226_MICROTUBULE_CYTOSKELETON_ORGANIZATION	861		Rejected!	
GOBP_SPECIES_GO:0000244_SPLICEOSOMAL_TRI-SNRNP_COMPLEX_ASSEMBLY	8		Rejected!	
GOBP_SPECIES_GO:0000245_SPLICEOSOMAL_COMPLEX_ASSEMBLY	46	31		
GOBP_SPECIES_GO:0000255_ALLANTOIN_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0000256_ALLANTOIN_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0000266_MITOCHONDRIAL_FISSION	17		Rejected!	
GOBP_SPECIES_GO:0000270_PEPTIDOGLYCAN_METABOLIC_PROCESS	13		Rejected!	
GOBP_SPECIES_GO:0000271_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	31	22		
GOBP_SPECIES_GO:0000272_POLYSACCHARIDE_CATABOLIC_PROCESS	64	44		
GOBP_SPECIES_GO:0000278_MITOTIC_CELL_CYCLE	1077		Rejected!	
GOBP_SPECIES_GO:0000280_NUCLEAR_DIVISION	597	371		
GOBP_SPECIES_GO:0000281_MITOTIC_CYTOKINESIS	162	97		
GOBP_SPECIES_GO:0000288_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_DEADENYLATION-DEPENDENT_DECAY	88	44		
GOBP_SPECIES_GO:0000289_NUCLEAR-TRANSCRIBED_MR_POLY(A)_TAIL_SHORTENING	52	22		
GOBP_SPECIES_GO:0000290_DEADENYLATION-DEPENDENT_DECAPPING_OF_NUCLEAR-TRANSCRIBED_MR	22		Rejected!	
GOBP_SPECIES_GO:0000291_NUCLEAR-TRANSCRIBED_MR_CATABOLIC_PROCESS,_EXONUCLEOLYTIC	24	20		
GOBP_SPECIES_GO:0000301_RETROGRADE_TRANSPORT,_VESICLE_RECYCLING_WITHIN_GOLGI	4		Rejected!	
GOBP_SPECIES_GO:0000302_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	62	52		
GOBP_SPECIES_GO:0000303_RESPONSE_TO_SUPEROXIDE	15	15		
GOBP_SPECIES_GO:0000305_RESPONSE_TO_OXYGEN_RADICAL	15	15		
