NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SPECIES_GO:0043062_EXTRACELLULAR_STRUCTURE_ORGANIZATION	GOBP_SPECIES_GO:0043062_EXTRACELLULAR_STRUCTURE_ORGANIZATION	Details ...	124	-0.5801332	-2.2706385	0.0	0.0	0.0	3581	tags=53%, list=23%, signal=68%	
GOBP_SPECIES_GO:0030198_EXTRACELLULAR_MATRIX_ORGANIZATION	GOBP_SPECIES_GO:0030198_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	95	-0.58899707	-2.2147012	0.0	0.0	0.0	3411	tags=55%, list=22%, signal=69%	
GOBP_SPECIES_GO:0061572_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_SPECIES_GO:0061572_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	Details ...	67	-0.6244998	-2.1954813	0.0	0.0	0.0	2030	tags=42%, list=13%, signal=48%	
GOBP_SPECIES_GO:0051017_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	GOBP_SPECIES_GO:0051017_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	Details ...	63	-0.6235642	-2.1759079	0.0	3.022014E-4	0.001	2030	tags=43%, list=13%, signal=49%	
GOBP_SPECIES_GO:0007266_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_SPECIES_GO:0007266_RHO_PROTEIN_SIGNAL_TRANSDUCTION	Details ...	41	-0.6669146	-2.1626713	0.0	4.771601E-4	0.002	3066	tags=56%, list=19%, signal=69%	
GOBP_SPECIES_GO:0014706_STRIATED_MUSCLE_TISSUE_DEVELOPMENT	GOBP_SPECIES_GO:0014706_STRIATED_MUSCLE_TISSUE_DEVELOPMENT	Details ...	31	-0.7079557	-2.1135979	0.0	0.0013843772	0.007	1020	tags=42%, list=6%, signal=45%	
GOCC_SPECIES_GO:0005604_BASEMENT_MEMBRANE	GOCC_SPECIES_GO:0005604_BASEMENT_MEMBRANE	Details ...	37	-0.6688144	-2.113108	0.0	0.0011866092	0.007	2464	tags=54%, list=16%, signal=64%	
GOBP_SPECIES_GO:0048738_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	GOBP_SPECIES_GO:0048738_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	Details ...	17	-0.7897714	-2.08611	0.0	0.0017874032	0.012	388	tags=47%, list=2%, signal=48%	
GOBP_SPECIES_GO:0060439_TRACHEA_MORPHOGENESIS	GOBP_SPECIES_GO:0060439_TRACHEA_MORPHOGENESIS	Details ...	23	-0.72437686	-2.0528727	0.0	0.0027825702	0.021	2464	tags=65%, list=16%, signal=77%	
GOBP_SPECIES_GO:0060294_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	GOBP_SPECIES_GO:0060294_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	Details ...	64	-0.58208704	-2.0497797	0.0	0.0026230707	0.022	4167	tags=63%, list=26%, signal=85%	
GOBP_SPECIES_GO:0030317_FLAGELLATED_SPERM_MOTILITY	GOBP_SPECIES_GO:0030317_FLAGELLATED_SPERM_MOTILITY	Details ...	62	-0.5736052	-2.015087	0.0	0.004558271	0.041	4167	tags=61%, list=26%, signal=83%	
GOBP_SPECIES_GO:0060285_CILIUM-DEPENDENT_CELL_MOTILITY	GOBP_SPECIES_GO:0060285_CILIUM-DEPENDENT_CELL_MOTILITY	Details ...	74	-0.55946636	-2.0127094	0.0	0.0045792023	0.045	4973	tags=68%, list=32%, signal=98%	
GOBP_SPECIES_GO:0001539_CILIUM_OR_FLAGELLUM-DEPENDENT_CELL_MOTILITY	GOBP_SPECIES_GO:0001539_CILIUM_OR_FLAGELLUM-DEPENDENT_CELL_MOTILITY	Details ...	74	-0.55946636	-2.0102494	0.0	0.0045005744	0.048	4973	tags=68%, list=32%, signal=98%	
GOBP_SPECIES_GO:0008544_EPIDERMIS_DEVELOPMENT	GOBP_SPECIES_GO:0008544_EPIDERMIS_DEVELOPMENT	Details ...	114	-0.5189547	-2.0091915	0.0	0.004350264	0.05	3923	tags=44%, list=25%, signal=58%	
GOBP_SPECIES_GO:0060537_MUSCLE_TISSUE_DEVELOPMENT	GOBP_SPECIES_GO:0060537_MUSCLE_TISSUE_DEVELOPMENT	Details ...	39	-0.6392493	-1.9922916	0.0	0.0063829636	0.079	2179	tags=44%, list=14%, signal=50%	
GOBP_SPECIES_GO:0007015_ACTIN_FILAMENT_ORGANIZATION	GOBP_SPECIES_GO:0007015_ACTIN_FILAMENT_ORGANIZATION	Details ...	228	-0.46945092	-1.9914191	0.0	0.006136392	0.08	3652	tags=37%, list=23%, signal=47%	
GOBP_SPECIES_GO:0003341_CILIUM_MOVEMENT	GOBP_SPECIES_GO:0003341_CILIUM_MOVEMENT	Details ...	96	-0.52675384	-1.9894562	0.0	0.006057413	0.084	4963	tags=66%, list=32%, signal=95%	
GOBP_SPECIES_GO:0000070_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_SPECIES_GO:0000070_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	136	-0.5024874	-1.9798653	0.0	0.0069866576	0.101	3036	tags=38%, list=19%, signal=47%	
GOCC_SPECIES_GO:0062023_COLLAGEN-CONTAINING_EXTRACELLULAR_MATRIX	GOCC_SPECIES_GO:0062023_COLLAGEN-CONTAINING_EXTRACELLULAR_MATRIX	Details ...	52	-0.5881208	-1.9753577	0.0	0.007191299	0.11	2464	tags=46%, list=16%, signal=55%	
GOBP_SPECIES_GO:0007156_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_SPECIES_GO:0007156_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	79	-0.53616285	-1.963013	0.0	0.0094065005	0.149	1993	tags=33%, list=13%, signal=37%	
