NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179503	na	3	2.253384590148926	0.03596524	Yes	
row_1	XM_047177604	na	51	1.4799418449401855	0.056688998	Yes	
row_2	XM_047180204	na	235	1.142277479171753	0.06324517	Yes	
row_3	XM_047167456	na	331	1.081324577331543	0.07448463	Yes	
row_4	XM_047181411	na	525	0.969580888748169	0.07762635	Yes	
row_5	XM_047165731	na	526	0.9689629077911377	0.09317451	Yes	
row_6	XM_047179129	na	629	0.9193785190582275	0.101365015	Yes	
row_7	XM_047186310	na	650	0.9083809852600098	0.1146544	Yes	
row_8	XM_047172535	na	684	0.8901101350784302	0.12681428	Yes	
row_9	XM_047180855	na	898	0.7989359498023987	0.12593111	Yes	
row_10	XM_047170312	na	963	0.7784878015518188	0.13430554	Yes	
row_11	XM_047168021	na	988	0.7697656750679016	0.14511335	Yes	
row_12	XM_047179167	na	1011	0.7635751962661743	0.15595049	Yes	
row_13	XM_047171935	na	1033	0.758124053478241	0.16676448	Yes	
row_14	XM_047174800	na	1036	0.7564828991889954	0.17877449	Yes	
row_15	XM_047180192	na	1041	0.7555208206176758	0.19064038	Yes	
row_16	XM_047169376	na	1111	0.739501953125	0.19806756	Yes	
row_17	XM_047177678	na	1123	0.7361306548118591	0.20917198	Yes	
row_18	XM_047173814	na	1132	0.7344577312469482	0.22044256	Yes	
row_19	XM_047169375	na	1323	0.6791101098060608	0.21911633	Yes	
row_20	XM_047185162	na	1511	0.650626540184021	0.21752605	Yes	
row_21	XM_047170211	na	1571	0.645042359828949	0.22408085	Yes	
row_22	XM_047179634	na	1676	0.6272611021995544	0.22745532	Yes	
row_23	XM_047185725	na	1787	0.6007171869277954	0.23001786	Yes	
row_24	XM_047164641	na	1975	0.5605669021606445	0.22698244	Yes	
row_25	XM_047168816	na	2016	0.5522623062133789	0.23327081	Yes	
row_26	XM_047176387	na	2101	0.5348495244979858	0.2364491	Yes	
row_27	XM_047176640	na	2161	0.5218679308891296	0.24102741	Yes	
row_28	XM_047166052	na	2169	0.5195575952529907	0.248914	Yes	
row_29	XM_047176920	na	2204	0.5093205571174622	0.25489932	Yes	
row_30	XM_047178003	na	2237	0.5031978487968445	0.26091507	Yes	
row_31	XM_047171119	na	2290	0.4915909767150879	0.26545787	Yes	
row_32	XM_047174665	na	2367	0.47534289956092834	0.268196	Yes	
row_33	XM_047167491	na	2389	0.4723653495311737	0.27442464	Yes	
row_34	XM_047176547	na	2511	0.4511018693447113	0.27387875	Yes	
row_35	XM_047185696	na	2528	0.44983166456222534	0.2800675	Yes	
row_36	XM_047170790	na	2664	0.4287184476852417	0.27826178	Yes	
row_37	XM_047177853	na	2716	0.4245935380458832	0.28179386	Yes	
row_38	XM_047167572	na	2732	0.42277202010154724	0.28761277	Yes	
row_39	XM_047167339	na	2756	0.4201781153678894	0.29287535	Yes	
row_40	XM_047178086	na	2939	0.40289053320884705	0.2876315	Yes	
row_41	XM_047169049	na	2974	0.3979130983352661	0.29182914	Yes	
row_42	XM_047163194	na	3047	0.3864871561527252	0.2933988	Yes	
row_43	XM_047166018	na	3052	0.38515958189964294	0.2993218	Yes	
row_44	XM_047174006	na	3080	0.3813452124595642	0.30370393	Yes	
row_45	XM_047178019	na	3285	0.37516096234321594	0.2965998	Yes	
row_46	XM_047166032	na	3347	0.3689509630203247	0.29859573	Yes	
row_47	XM_047166492	na	3351	0.3689509630203247	0.304323	Yes	
row_48	XM_047179620	na	3495	0.3668905198574066	0.3010105	Yes	
row_49	XM_047163792	na	3525	0.3623338043689728	0.30495888	Yes	
row_50	XM_047173479	na	3549	0.3623338043689728	0.3092933	Yes	
row_51	XM_047179870	na	3674	0.3534125089645386	0.30698687	Yes	
row_52	XM_047165750	na	3722	0.35110196471214294	0.30959705	Yes	
row_53	XM_047177641	na	3808	0.35110196471214294	0.30976254	Yes	
row_54	XM_047183603	na	4011	0.3297007977962494	0.30205762	No	
row_55	XM_047171811	na	4127	0.31297168135643005	0.29968128	No	
row_56	XM_047171650	na	4182	0.30471473932266235	0.30109677	No	
row_57	XM_047176989	na	4189	0.30429938435554504	0.3055936	No	
row_58	XM_047165135	na	4397	0.27508458495140076	0.29669064	No	
row_59	XM_047171172	na	4470	0.2659693658351898	0.29632643	No	
row_60	XM_047164027	na	4483	0.26466259360313416	0.29980123	No	
row_61	XM_047184550	na	4484	0.26466259360313416	0.30404806	No	
row_62	XM_047174657	na	4505	0.2623720169067383	0.30697146	No	
row_63	XM_047167177	na	4559	0.2568233907222748	0.30768284	No	
row_64	XM_047177432	na	4707	0.2384614795446396	0.3020522	No	
row_65	XM_047169108	na	4797	0.22573252022266388	0.29994866	No	
row_66	XM_047181410	na	4806	0.22459776699543	0.30303794	No	
row_67	XM_047168437	na	4882	0.21673138439655304	0.30169064	No	
row_68	XM_047185177	na	4898	0.2137715220451355	0.30415586	No	
row_69	XM_047177259	na	4980	0.2033977061510086	0.3022086	No	
row_70	XM_047166390	na	5031	0.19833460450172424	0.30217445	No	
row_71	XM_047177180	na	5042	0.19694361090660095	0.3046913	No	
row_72	XM_047175287	na	5170	0.18015214800834656	0.2994117	No	
row_73	XM_047176493	na	5210	0.1761854887008667	0.2997298	No	
row_74	XM_047182062	na	5309	0.16406841576099396	0.2960578	No	
row_75	XM_047179391	na	5374	0.1553308665752411	0.2944329	No	
row_76	XM_047174406	na	5411	0.15038630366325378	0.29453003	No	
row_77	XM_047168454	na	5490	0.13922975957393646	0.29174614	No	
row_78	XM_047185131	na	5579	0.12743453681468964	0.28812963	No	
row_79	XM_047172887	na	5619	0.12348953634500504	0.28760216	No	
row_80	XM_047163815	na	5638	0.12108555436134338	0.28838712	No	
row_81	XM_047184924	na	5689	0.11454934626817703	0.28700852	No	
row_82	XM_047169277	na	5701	0.112723208963871	0.28810963	No	
row_83	XM_047175002	na	5734	0.10944639891386032	0.28780717	No	
row_84	XM_047178906	na	5814	0.09928324818611145	0.2843179	No	
row_85	XM_047185955	na	5927	0.08487283438444138	0.27847445	No	
row_86	XM_047170890	na	6157	0.056073710322380066	0.26464185	No	
row_87	XM_047170947	na	6252	0.04676256701350212	0.25934488	No	
row_88	XM_047178595	na	6273	0.044099681079387665	0.25876582	No	
row_89	XM_047185868	na	6321	0.038461729884147644	0.2563593	No	
row_90	XM_047185089	na	6519	0.019495699554681778	0.24399844	No	
row_91	XM_047177256	na	6710	0.007098563946783543	0.23188898	No	
row_92	XM_047181838	na	6719	0.0070555685088038445	0.23148753	No	
row_93	XM_047167451	na	7243	0.0	0.19784111	No	
