NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SPECIES_GO:0000725_RECOMBINATIONAL_REPAIR	GOBP_SPECIES_GO:0000725_RECOMBINATIONAL_REPAIR	Details ...	82	-0.7108428	-2.793958	0.0	0.0	0.0	1913	tags=49%, list=12%, signal=55%	
GOBP_SPECIES_GO:0000724_DOUBLE-STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GOBP_SPECIES_GO:0000724_DOUBLE-STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	Details ...	82	-0.7108428	-2.702577	0.0	0.0	0.0	1913	tags=49%, list=12%, signal=55%	
GOBP_SPECIES_GO:0006310_D_RECOMBINATION	GOBP_SPECIES_GO:0006310_D_RECOMBINATION	Details ...	134	-0.63973653	-2.665539	0.0	0.0	0.0	2093	tags=45%, list=13%, signal=51%	
GOBP_SPECIES_GO:0006270_D_REPLICATION_INITIATION	GOBP_SPECIES_GO:0006270_D_REPLICATION_INITIATION	Details ...	35	-0.8244067	-2.6480267	0.0	0.0	0.0	1439	tags=74%, list=9%, signal=82%	
GOBP_SPECIES_GO:0006302_DOUBLE-STRAND_BREAK_REPAIR	GOBP_SPECIES_GO:0006302_DOUBLE-STRAND_BREAK_REPAIR	Details ...	123	-0.63940746	-2.6478713	0.0	0.0	0.0	1913	tags=45%, list=12%, signal=51%	
GOBP_SPECIES_GO:0000075_CELL_CYCLE_CHECKPOINT_SIGNALING	GOBP_SPECIES_GO:0000075_CELL_CYCLE_CHECKPOINT_SIGNALING	Details ...	83	-0.6883488	-2.6402216	0.0	0.0	0.0	1753	tags=48%, list=11%, signal=54%	
GOBP_SPECIES_GO:1901988_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_SPECIES_GO:1901988_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	Details ...	103	-0.6546563	-2.6184747	0.0	0.0	0.0	1753	tags=45%, list=11%, signal=50%	
GOBP_SPECIES_GO:0010948_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	GOBP_SPECIES_GO:0010948_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	Details ...	118	-0.63817906	-2.6084435	0.0	0.0	0.0	1753	tags=42%, list=11%, signal=47%	
GOBP_SPECIES_GO:0007093_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	GOBP_SPECIES_GO:0007093_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	Details ...	57	-0.7343683	-2.604492	0.0	0.0	0.0	1373	tags=51%, list=9%, signal=56%	
GOBP_SPECIES_GO:1901991_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	GOBP_SPECIES_GO:1901991_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	Details ...	69	-0.694563	-2.5649943	0.0	0.0	0.0	2268	tags=54%, list=14%, signal=62%	
GOBP_SPECIES_GO:0006281_D_REPAIR	GOBP_SPECIES_GO:0006281_D_REPAIR	Details ...	255	-0.56666684	-2.5479894	0.0	0.0	0.0	2013	tags=40%, list=13%, signal=45%	
GOBP_SPECIES_GO:0006260_D_REPLICATION	GOBP_SPECIES_GO:0006260_D_REPLICATION	Details ...	178	-0.5955587	-2.5462513	0.0	0.0	0.0	1540	tags=43%, list=10%, signal=47%	
GOBP_SPECIES_GO:2001251_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_SPECIES_GO:2001251_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	25	-0.8626	-2.5386224	0.0	0.0	0.0	1373	tags=64%, list=9%, signal=70%	
GOBP_SPECIES_GO:0006261_D-TEMPLATED_D_REPLICATION	GOBP_SPECIES_GO:0006261_D-TEMPLATED_D_REPLICATION	Details ...	137	-0.6018751	-2.5191267	0.0	0.0	0.0	1540	tags=45%, list=10%, signal=49%	
GOBP_SPECIES_GO:0045786_NEGATIVE_REGULATION_OF_CELL_CYCLE	GOBP_SPECIES_GO:0045786_NEGATIVE_REGULATION_OF_CELL_CYCLE	Details ...	132	-0.6122401	-2.5084925	0.0	0.0	0.0	1753	tags=40%, list=11%, signal=45%	
GOBP_SPECIES_GO:0006271_D_STRAND_ELONGATION_INVOLVED_IN_D_REPLICATION	GOBP_SPECIES_GO:0006271_D_STRAND_ELONGATION_INVOLVED_IN_D_REPLICATION	Details ...	28	-0.8273258	-2.5068586	0.0	0.0	0.0	617	tags=61%, list=4%, signal=63%	
